id;titulo;url;fecha;tipo;alcance;uso
nacional_41;Programa de Intervención y/o Control de Penas Sustitutivas;https://www.gendarmeria.gob.cl/pob_penal_penas.html;s/f;Gendarmería de Chile;Nacional;"Sustenta una presunción institucional para las cinco penas sustitutivas principales en los 41 CRS; no prueba por sí sola cada combinación CRS-forma."
faq_genchi;Preguntas frecuentes de Gendarmería de Chile;https://www.gendarmeria.gob.cl/preguntas.html;consulta 2026-08-18;Gendarmería de Chile;Nacional;"Define las penas y explica que el CRS que administra la pena atiende el monitoreo; no identifica cada CRS."
horarios_genchi;CRS: direcciones y comunas asignadas según jurisdicción;https://www.gendarmeria.gob.cl/horarios1.html;consulta 2026-08-18;Gendarmería de Chile;Nacional, filas por CRS;"Fuente de jurisdicción; además identifica Libertad Vigilada en un anexo del CRS Santiago y RCP/PSBC en un anexo del CRS Antofagasta."
pilsa_2018;Caracterización de la población atendida en PILSA;https://html.gendarmeria.gob.cl/doc/reinsercion/INFORME_PILSA%28NOV2018%29.pdf;2018;Gendarmería de Chile;Nacional;Advierte que, en provincias sin CRS, RC y ciertas RP pueden ser controladas por unidades del sistema cerrado.
beneficios_lc;Beneficios legales: libertad condicional;https://www.gendarmeria.gob.cl/beneficios.html;consulta 2026-08-18;Gendarmería de Chile;Nacional;Indica firma en CAIS, CRS o unidad más cercana al lugar de residencia.
apoyo_lc;Apoyo postpenitenciario y libertad condicional;https://gendarmeria.gob.cl/apoyo_post.html;consulta 2026-08-18;Gendarmería de Chile;Nacional;Indica presentación en el CAIS asignado y supervisión por delegado de libertad condicional.
compendio_2024;Compendio Estadístico Penitenciario 2024;https://html.gendarmeria.gob.cl/doc/estadisticas/Compendio_Estadistico_2024.pdf;2024;Gendarmería de Chile;Nacional;"Clasifica expulsión dentro del régimen de control cerrado; no permite asignarla a un CRS individual."
psbc_2018;Caracterización de la población que cumple PSBC;https://html.gendarmeria.gob.cl/doc/reinsercion/INFORME_PSBC%28DIC2018%29.pdf;2018;Gendarmería de Chile;Tablas por CRS;Confirma operación de PSBC cuando el CRS aparece individualizado en las tablas del informe.
extranjeros_2023;Necesidades de la población extranjera del Sistema Abierto;https://html.gendarmeria.gob.cl/doc/biblioteca/NECESIDADES_EXTRANJEROS_SISTEMA_ABIERTO_2023.pdf;2023;Gendarmería de Chile;CRS y cargos individualizados;Confirma una forma cuando el cargo local se identifica inequívocamente, por ejemplo delegado LV.
lv_lvi_2021;Condiciones y prácticas de supervisión de penas sustitutivas durante la pandemia;https://html.gendarmeria.gob.cl/doc/covid_condiciones.pdf;2021;Universidad de Chile con colaboración de Gendarmería;Delegados LV y/o LVI de los 41 CRS;Respalda presencia nacional de supervisión LV/LVI, pero no permite separar ambas modalidades en cada CRS.
